,school,entity_id,entity_type,school_year,total_enroll,projected_enroll,hispanic,amer_indian,black,white,asian,pac_islander,multi_racial,total_minority,frl,ell,spec_ed,gifted
75,Morton Magnet,1039,MIDDLE SCHOOL,2011-2012,653,664.0,68,6,209,300,9,1,60,353,394,13,104,64.0
76,Morton Magnet,?,ELEMENTARY,2011-2012,96,98.0,8,2,32,43,2,0,9,53,55,1,10,28.0
77,Mount View Elementary*,1147,ELEMENTARY,2011-2012,440,387.0,32,3,325,38,2,0,40,402,403,6,83,35.0
78,Norris Middle,1041,MIDDLE SCHOOL,2011-2012,742,653.0,475,14,61,148,6,1,37,594,666,81,139,63.0
79,North Magnet,1009,HIGH SCHOOL,2011-2012,1797,1791.0,187,22,672,702,35,3,176,1095,1139,11,228,210.0
80,Northwest High,1011,HIGH SCHOOL,2011-2012,1126,1080.0,155,17,489,324,15,0,126,802,859,46,202,67.0
81,Oak Valley Elementary*,1149,ELEMENTARY,2011-2012,301,270.0,102,5,41,137,2,4,10,164,210,66,77,29.0
82,Parrish,1051,ALTERNATIVE,2011-2012,69,,15,0,36,10,1,0,7,59,60,3,17,
83,Parrish Elementary,?,ALTERNATIVE,2011-2012,0,,0,0,0,0,0,0,0,0,0,0,0,0.0
84,Pawnee Elementary,1153,ELEMENTARY,2011-2012,599,634.0,257,1,44,267,15,0,15,332,402,193,59,96.0
85,Picotte Elementary,1148,ELEMENTARY,2011-2012,550,561.0,30,1,41,417,22,1,38,133,120,13,114,132.0
86,Pinewood Elementary*,1155,ELEMENTARY,2011-2012,282,296.0,33,1,97,123,11,0,17,159,180,7,55,15.0
87,Ponca Elementary,1159,ELEMENTARY,2011-2012,148,142.0,27,2,12,103,0,0,4,45,76,8,14,44.0
88,Prairie Wind Elementary,1209,ELEMENTARY,2011-2012,805,798.0,71,9,235,387,18,0,85,418,461,22,100,90.0
89,Rose Hill Elementary,1165,ELEMENTARY,2011-2012,355,326.0,37,5,77,170,55,0,11,185,251,59,44,67.0
90,Saddlebrook Elementary,1168,ELEMENTARY,2011-2012,436,441.0,31,2,37,323,16,0,27,113,40,2,55,83.0
91,Saratoga Elementary*,1169,ELEMENTARY,2011-2012,250,207.0,11,11,193,18,0,0,17,232,237,2,45,31.0
92,Secondary Success Program,?,ALTERNATIVE,2011-2012,3,,0,0,2,1,0,0,0,2,3,0,1,
93,Sherman Elementary*,1173,ELEMENTARY,2011-2012,237,228.0,121,5,6,94,0,0,11,143,228,55,48,34.0
94,Skinner Magnet,1214,ELEMENTARY,2011-2012,430,429.0,43,3,302,51,1,1,29,379,378,5,69,42.0
95,South Magnet,1013,HIGH SCHOOL,2011-2012,2078,2001.0,1365,25,246,262,103,1,76,1816,1803,240,275,67.0
96,Spring Lake Magnet*,1175,ELEMENTARY,2011-2012,779,714.0,620,9,23,109,3,1,14,670,696,399,88,83.0
97,Springville Elementary,1177,ELEMENTARY,2011-2012,414,422.0,40,10,120,197,7,1,39,217,165,13,34,60.0
98,Standing Bear Elementary*,1178,ELEMENTARY,2011-2012,582,584.0,40,4,41,440,38,0,19,142,128,15,76,101.0
99,Sunny Slope Elementary*,1179,ELEMENTARY,2011-2012,453,455.0,44,1,120,255,8,1,24,198,252,15,72,81.0
100,Transition Program at PVA&CC,?,ALTERNATIVE,2011-2012,95,,14,1,21,49,1,0,9,46,66,0,93,
101,Wakonda Elementary*,1185,ELEMENTARY,2011-2012,314,302.0,20,8,239,28,4,0,15,286,291,9,70,37.0
102,Walnut Hill Elementary,1187,ELEMENTARY,2011-2012,413,418.0,106,9,156,57,55,0,30,356,395,115,42,50.0
103,Washington Elementary*,1189,ELEMENTARY,2011-2012,299,289.0,54,4,44,166,12,1,18,133,160,24,68,30.0
104,Western Hills Magnet,1191,ELEMENTARY,2011-2012,377,371.0,35,1,125,183,7,0,26,194,293,35,74,24.0
105,Wilson Focus School,1046,ELEMENTARY,2011-2012,154,,12,1,59,73,6,0,3,81,74,3,20,48.0
